"hh","u","v","IntegrationTime","Velocity:0","Velocity:1","Velocity:2","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
12.851,64.184,1.8299e-007,2.3677e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6173,6.433,0
12.852,64.141,1.8571e-007,2.3731e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6145,6.438,0
12.853,64.098,1.8844e-007,2.3784e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6117,6.4429,0
12.853,64.055,1.9116e-007,2.3838e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6089,6.4478,0
12.854,64.011,1.9389e-007,2.3892e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6061,6.4527,0
12.854,63.968,1.9661e-007,2.3946e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6033,6.4576,0
12.855,63.925,1.9934e-007,2.4e+007,-5.2094e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.6005,6.4625,0
12.856,63.879,2.0236e-007,2.4053e+007,-3.7164e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.5983,6.4677,0
12.883,61.538,3.5591e-007,2.6922e+007,-3.7164e-008,9.131e-008,0,0,0,0,0,0,0,0,-1,3.4917,6.7297,0
12.91,59.22,2.9276e-007,2.9792e+007,-3.7164e-008,8.1568e-008,0,0,0,0,0,0,0,0,-1,3.3754,6.9875,0
12.936,56.773,2.1499e-007,3.2947e+007,-2.4995e-008,8.296e-008,0,0,0,0,0,0,0,0,-1,3.2957,7.2586,0
12.96,54.309,3.957e-007,3.6211e+007,-2.4995e-008,8.296e-008,0,0,0,0,0,0,0,0,-1,3.2141,7.5294,0
12.984,51.738,3.0933e-007,3.9476e+007,0,8.3664e-008,0,0,0,0,0,0,0,0,-1,3.1973,7.8104,0
12.226,72.264,1.5036e-007,0,-1.8419e-007,1.9149e-007,0,0,0,0,0,0,0,0,-1,7.5,5,0
12.302,70.978,9.9896e-008,1.0645e+006,-1.8419e-007,1.9739e-007,0,0,0,0,0,0,0,0,-1,7.3039,5.2038,0
12.375,69.552,1.5992e-007,2.1122e+006,-1.4997e-007,1.9739e-007,0,0,0,0,0,0,1.1633e-008,9.3128e-009,-1,7.1219,5.4198,0
12.445,68.002,1.9535e-007,3.2531e+006,-1.4997e-007,1.9713e-007,0,0,0,0,0,0,1.1862e-008,9.0193e-009,-1,6.9507,5.645,0
12.515,66.444,1.3105e-007,4.395e+006,-1.1718e-007,1.9713e-007,0,0,0,0,0,0,1.2328e-008,8.3706e-009,-1,6.7795,5.8701,0
12.579,64.665,1.3089e-007,5.6284e+006,-1.1718e-007,1.9156e-007,0,0,0,0,0,0,1.2957e-008,7.3586e-009,-1,6.6334,6.1123,0
12.643,62.819,2.0626e-007,6.888e+006,-9.7356e-008,2.1138e-007,0,0,0,0,0,0,1.3415e-008,6.4869e-009,-1,6.5005,6.3614,0
12.707,60.862,1.4603e-007,8.1033e+006,-6.7047e-008,2.0187e-007,0,0,0,0,0,0,1.9658e-008,7.5923e-009,-1,6.3878,6.6204,0
12.766,58.773,1.1582e-007,9.433e+006,-6.7047e-008,1.8867e-007,0,0,0,0,0,0,2.483e-008,7.0432e-009,-1,6.297,6.8882,0
12.826,56.623,2.1463e-007,1.0846e+007,-4.5586e-008,2.1013e-007,0,0,0,0,0,0,2.5142e-008,5.8318e-009,-1,6.2337,7.1637,0
12.883,54.439,1.475e-007,1.2161e+007,-2.307e-008,2.1592e-007,0,0,0,0,0,0,2.5434e-008,4.3865e-009,-1,6.1692,7.4391,0
12.942,52.219,1.309e-007,1.3464e+007,-2.307e-008,1.9584e-007,0,0,0,0,0,0,2.5434e-008,4.3865e-009,-1,6.1377,7.7201,0
12.135,61.346,1.018e-007,0,-2.6858e-007,3.1477e-007,0,0,0,0,0,0,0,0,-1,9,6,0
12.256,60.353,1.9141e-007,6.8356e+005,-2.6858e-007,3.3706e-007,0,0,0,0,0,0,0,0,-1,8.8237,6.2212,0
12.369,59.065,2.3753e-007,1.3398e+006,-1.997e-007,3.3968e-007,0,0,0,0,0,0,0,0,-1,8.6767,6.4625,0
12.482,57.712,1.3697e-007,2.0577e+006,-1.6203e-007,3.7735e-007,0,0,0,0,0,0,0,0,-1,8.5425,6.711,0
12.597,56.263,1.7244e-007,2.7464e+006,-1.6203e-007,3.669e-007,0,0,0,0,0,0,0,0,-1,8.4296,6.9703,0
12.704,54.647,2.5228e-007,3.4516e+006,-9.441e-008,3.4171e-007,0,0,0,0,0,0,0,0,-1,8.3456,7.2395,0
12.814,52.945,1.3216e-007,4.2494e+006,-4.8705e-008,3.8742e-007,0,0,0,0,0,0,0,0,-1,8.3064,7.5194,0
12.92,51.201,1.9929e-007,4.9738e+006,0,3.9853e-007,0,0,0,0,0,0,0,0,-1,8.279,7.8004,0
12.077,50.774,2.2117e-007,0,-5.7305e-007,6.8761e-007,0,0,0,0,0,0,0,0,-1,10.5,7,0
12.316,50.8,3.0975e-007,3.1599e+005,-3.4404e-007,7.0559e-007,0,0,0,0,0,0,0,0,-1,10.347,7.2355,0
12.559,50.504,1.6114e-007,6.763e+005,-2.0093e-007,8.487e-007,0,0,0,0,0,0,0,0,-1,10.276,7.5086,0
12.791,50.082,2.1703e-007,1.0006e+006,-2.0093e-007,7.6985e-007,0,0,0,0,0,0,0,0,-1,10.208,7.7831,0
10.5,25,4.0776e-007,0,-6.25e-006,0,0,0,0,0,0,0,0,1,0,12,8,0
12.268,42.678,3.9762e-007,45255,-6.25e-006,0,0,0,0,0,0,0,0,1,0,11.717,8,0
13,130,1.1861e-007,0,-1.1861e-007,0,0,0,0,0,0,0,0,1,0,0,0,0
12.966,129.66,1.1837e-007,-2.3847e+006,-1.1861e-007,0,0,0,0,0,0,0,0,1,0,0.28284,0,0
12.823,118.23,1.7826e-007,0,-1.196e-007,6.8113e-009,0,0,0,0,0,0,0,0,-1,1.5,1,0
12.788,118.04,1.7334e-007,-2.3611e+006,-1.2403e-007,6.8113e-009,0,0,0,0,0,0,0,0,-1,1.7824,0.9842,0
12.753,117.88,1.7332e-007,-4.638e+006,-1.2745e-007,8.5393e-009,0,0,0,0,0,0,0,0,-1,2.0646,0.96514,0
12.717,117.72,1.6886e-007,-6.8524e+006,-1.257e-007,1.0281e-008,0,0,0,0,0,0,0,0,-1,2.3467,0.94504,0
12.68,117.57,1.6162e-007,-9.0949e+006,-1.3155e-007,1.0281e-008,0,0,0,0,0,0,0,0,-1,2.6287,0.9229,0
12.643,117.45,1.5781e-007,-1.1238e+007,-1.3636e-007,1.2035e-008,0,0,0,0,0,0,0,0,-1,2.9104,0.89755,0
12.604,117.32,1.5163e-007,-1.3305e+007,-1.346e-007,1.3798e-008,0,0,0,0,0,0,0,0,-1,3.192,0.87153,0
12.598,117.31,1.5017e-007,-1.3629e+007,-1.4188e-007,1.3798e-008,0,0,0,0,0,0,0,0,-1,3.2357,0.86726,0
12.557,117.18,1.4065e-007,-1.5613e+007,-1.4188e-007,1.3798e-008,0,0,0,0,0,0,0,0,-1,3.5172,0.83988,0
12.516,117.05,1.3386e-007,-1.7597e+007,-1.4811e-007,1.5565e-008,0,0,0,0,0,0,1.4309e-009,1.4832e-008,-1,3.7986,0.81053,0
12.473,116.88,1.3746e-007,-1.9496e+007,-1.5505e-007,1.1425e-008,0,0,0,0,0,0,1.7046e-009,2.1004e-008,-1,4.0803,0.78557,0
12.429,116.65,1.4382e-007,-2.1316e+007,-1.5505e-007,1.1425e-008,0,0,0,0,0,0,1.5748e-009,2.1015e-008,-1,4.3623,0.76478,0
12.383,116.4,1.5381e-007,-2.3135e+007,-1.627e-007,1.244e-008,0,0,0,0,0,0,1.6006e-009,2.1013e-008,-1,4.6444,0.74329,0
12.336,116.14,1.6503e-007,-2.4868e+007,-1.7103e-007,1.3416e-008,0,0,0,0,0,0,1.6241e-009,2.1011e-008,-1,4.9264,0.72181,0
12.288,115.88,1.7221e-007,-2.6517e+007,-1.8096e-007,1.3416e-008,0,0,0,0,0,0,1.6316e-009,2.101e-008,-1,5.2084,0.6997,0
12.236,115.58,1.8275e-007,-2.8076e+007,-1.8004e-007,1.4335e-008,0,0,0,0,0,0,1.6211e-009,2.1011e-008,-1,5.4904,0.67802,0
12.184,115.27,1.9542e-007,-2.9642e+007,-1.8968e-007,1.5177e-008,0,0,0,0,0,0,1.6406e-009,2.1009e-008,-1,5.7724,0.65618,0
12.129,114.95,2.0305e-007,-3.1128e+007,-2.0065e-007,1.5177e-008,0,0,0,0,0,0,1.6426e-009,2.1009e-008,-1,6.0543,0.63398,0
12.072,114.6,2.139e-007,-3.2534e+007,-1.9992e-007,1.5914e-008,0,0,0,0,0,0,1.6112e-009,2.1012e-008,-1,6.3363,0.61209,0
12.013,114.22,2.2712e-007,-3.3944e+007,-2.1067e-007,1.6518e-008,0,0,0,0,0,0,1.9682e-009,2.5734e-008,-1,6.6184,0.59073,0
11.952,113.83,2.3495e-007,-3.5283e+007,-2.2231e-007,1.6518e-008,0,0,0,0,0,0,2.5346e-009,3.3223e-008,-1,6.9004,0.56895,0
11.889,113.41,2.4569e-007,-3.6551e+007,-2.2187e-007,1.6954e-008,0,0,0,0,0,0,2.6991e-009,3.64e-008,-1,7.1824,0.5477,0
11.823,112.96,2.584e-007,-3.7823e+007,-2.3363e-007,1.6954e-008,0,0,0,0,0,0,2.666e-009,3.6403e-008,-1,7.4645,0.52712,0
11.793,112.75,2.6182e-007,-3.837e+007,-2.334e-007,1.7186e-008,0,0,0,0,0,0,2.621e-009,3.6406e-008,-1,7.5924,0.51771,0
11.778,112.65,2.6351e-007,-3.8632e+007,-2.4512e-007,1.7186e-008,0,0,0,0,0,0,2.5591e-009,3.641e-008,-1,7.6537,0.5134,0
11.709,112.15,2.7201e-007,-3.9784e+007,-2.4513e-007,1.7176e-008,0,0,0,0,0,0,2.5009e-009,3.6414e-008,-1,7.9358,0.49362,0
11.637,111.62,2.8355e-007,-4.0935e+007,-2.566e-007,1.7176e-008,0,0,0,0,0,0,2.4183e-009,3.642e-008,-1,8.218,0.47464,0
11.563,111.07,2.9216e-007,-4.2034e+007,-2.6789e-007,1.6888e-008,0,0,0,0,0,0,2.3421e-009,3.6425e-008,-1,8.5003,0.45614,0
11.487,110.48,2.998e-007,-4.3088e+007,-2.6849e-007,1.6287e-008,0,0,0,0,0,0,2.2165e-009,3.6433e-008,-1,8.7826,0.43834,0
11.46,110.27,3.0309e-007,-4.3445e+007,-2.7879e-007,1.6287e-008,0,0,0,0,0,0,2.1327e-009,3.6438e-008,-1,8.8783,0.43273,0
11.381,109.65,3.1215e-007,-4.4457e+007,-2.7879e-007,1.6287e-008,0,0,0,0,0,0,2.0544e-009,3.6442e-008,-1,9.1606,0.41623,0
11.355,109.44,3.1433e-007,-4.4788e+007,-2.8906e-007,1.5347e-008,0,0,0,0,0,0,1.7628e-009,3.6458e-008,-1,9.2528,0.41122,0
11.273,108.74,3.1877e-007,-4.5765e+007,-2.8906e-007,4.645e-009,0,0,0,0,0,0,1.0275e-009,3.6486e-008,-1,9.5354,0.39925,0
11.189,107.94,3.1896e-007,-4.6744e+007,-2.9846e-007,4.0961e-009,0,0,0,0,0,0,4.9175e-010,3.6497e-008,-1,9.8182,0.3953,0
11.104,107.12,3.1926e-007,-4.7691e+007,-3.0677e-007,3.4355e-009,0,0,0,0,0,0,4.4149e-010,3.6498e-008,-1,10.101,0.39163,0
11.017,106.29,3.1878e-007,-4.8613e+007,-3.0677e-007,3.4355e-009,0,0,0,0,0,0,4.0669e-010,3.6498e-008,-1,10.384,0.38846,0
11.009,106.21,3.187e-007,-4.8701e+007,-3.1298e-007,3.4355e-009,0,0,0,0,0,0,3.623e-010,3.6498e-008,-1,10.411,0.38816,0
10.996,106.09,3.1867e-007,-4.8828e+007,-3.1374e-007,2.6748e-009,0,0,0,0,0,0,3.1556e-010,3.6499e-008,-1,10.451,0.38781,0
10.908,105.22,3.1848e-007,-4.9729e+007,-3.1374e-007,2.6748e-009,0,0,0,0,0,0,2.6533e-010,3.6499e-008,-1,10.733,0.3854,0
10.818,104.34,3.189e-007,-5.0631e+007,-3.1917e-007,1.8322e-009,0,0,0,0,0,0,1.9943e-010,3.65e-008,-1,11.016,0.3837,0
10.727,103.45,2.7685e-007,-5.1517e+007,-3.2289e-007,9.3125e-010,0,0,0,0,0,0,1.4233e-010,3.65e-008,-1,11.299,0.38231,0
10.636,102.54,1.3097e-007,-5.2393e+007,-3.2289e-007,9.3125e-010,0,0,0,0,0,0,1.0519e-010,3.65e-008,-1,11.582,0.3815,0
10.625,102.44,1.2201e-007,-5.2495e+007,-3.2386e-007,9.3125e-010,0,0,0,0,0,0,5.7697e-011,3.65e-008,-1,11.615,0.3814,0
10.6,102.18,1.2193e-007,-5.2736e+007,-3.2479e-007,0,0,0,0,0,0,0,5.1433e-012,3.65e-008,-1,11.693,0.38138,0
10.508,101.26,1.2121e-007,-5.3607e+007,-3.2479e-007,0,0,0,0,0,0,0,5.1433e-012,3.65e-008,-1,11.976,0.38138,0
12.651,106.51,2.7043e-007,0,-1.2893e-007,2.4819e-008,0,0,0,0,0,0,0,0,-1,3,2,0
12.613,106.66,2.5307e-007,-2.1543e+006,-1.3441e-007,2.8037e-008,0,0,0,0,0,0,0,0,-1,3.2779,1.9475,0
12.574,106.85,2.3837e-007,-4.2143e+006,-1.3441e-007,2.8037e-008,0,0,0,0,0,0,0,0,-1,3.5548,1.8897,0
12.534,107,2.2117e-007,-6.2742e+006,-1.4064e-007,3.1262e-008,0,0,0,0,0,0,0,0,-1,3.8319,1.8332,0
12.492,107.19,1.994e-007,-8.2374e+006,-1.5084e-007,3.1262e-008,0,0,0,0,0,0,0,0,-1,4.1083,1.7729,0
12.448,107.36,1.7873e-007,-1.0073e+007,-1.4763e-007,3.4474e-008,0,0,0,0,0,0,0,0,-1,4.3845,1.7121,0
12.403,107.51,1.6017e-007,-1.1939e+007,-1.5857e-007,3.4474e-008,0,0,0,0,0,0,0,0,-1,4.6608,1.6516,0
12.356,107.62,1.4451e-007,-1.3682e+007,-1.6704e-007,3.1518e-008,0,0,0,0,0,0,0,0,-1,4.9375,1.5933,0
12.307,107.67,1.6299e-007,-1.5346e+007,-1.7848e-007,3.1518e-008,0,0,0,0,0,0,0,0,-1,5.2154,1.5408,0
12.257,107.69,1.8649e-007,-1.6907e+007,-1.7625e-007,3.3748e-008,0,0,0,0,0,0,2.7489e-009,1.4645e-008,-1,5.4933,1.488,0
12.204,107.67,2.1017e-007,-1.8483e+007,-1.8619e-007,3.5813e-008,0,0,0,0,0,0,4.747e-009,2.5369e-008,-1,5.7714,1.4365,0
12.149,107.66,2.2934e-007,-1.9975e+007,-1.9865e-007,3.5813e-008,0,0,0,0,0,0,5.4542e-009,2.9299e-008,-1,6.0493,1.384,0
12.093,107.6,2.5083e-007,-2.1376e+007,-1.9681e-007,3.7651e-008,0,0,0,0,0,0,5.3394e-009,2.932e-008,-1,6.3275,1.3329,0
12.033,107.51,2.7397e-007,-2.2787e+007,-2.0963e-007,3.7651e-008,0,0,0,0,0,0,5.301e-009,2.9327e-008,-1,6.6058,1.2826,0
11.972,107.4,2.951e-007,-2.4115e+007,-2.2111e-007,3.9191e-008,0,0,0,0,0,0,5.0506e-009,2.9371e-008,-1,6.8842,1.2323,0
11.909,107.22,3.0372e-007,-2.5375e+007,-2.2111e-007,2.8483e-008,0,0,0,0,0,0,4.2425e-009,2.9499e-008,-1,7.1633,1.1868,0
11.843,106.91,2.9289e-007,-2.6644e+007,-2.3297e-007,2.8912e-008,0,0,0,0,0,0,3.6327e-009,2.958e-008,-1,7.4439,1.1518,0
11.775,106.57,2.8338e-007,-2.7848e+007,-2.451e-007,2.8937e-008,0,0,0,0,0,0,3.5379e-009,2.9592e-008,-1,7.7247,1.1178,0
11.705,106.2,2.7229e-007,-2.8994e+007,-2.5689e-007,2.8937e-008,0,0,0,0,0,0,3.401e-009,2.9608e-008,-1,8.0056,1.0847,0
11.632,105.78,2.6113e-007,-3.0089e+007,-2.5733e-007,2.8493e-008,0,0,0,0,0,0,3.2602e-009,2.9623e-008,-1,8.2867,1.0533,0
11.557,105.34,2.5401e-007,-3.1181e+007,-2.6849e-007,2.8493e-008,0,0,0,0,0,0,3.126e-009,2.9638e-008,-1,8.5679,1.0228,0
11.542,105.25,2.5244e-007,-3.1382e+007,-2.6947e-007,2.7521e-008,0,0,0,0,0,0,3.0178e-009,2.9649e-008,-1,8.622,1.0172,0
11.464,104.75,2.427e-007,-3.2427e+007,-2.7973e-007,2.7521e-008,0,0,0,0,0,0,2.9127e-009,2.966e-008,-1,8.9034,0.9888,0
11.385,104.23,2.3281e-007,-3.3433e+007,-2.8128e-007,2.5972e-008,0,0,0,0,0,0,2.7464e-009,2.9676e-008,-1,9.185,0.96195,0
11.362,104.07,2.3178e-007,-3.3704e+007,-2.9035e-007,2.5972e-008,0,0,0,0,0,0,2.6252e-009,2.9686e-008,-1,9.2611,0.95512,0
